Date,Close/Last,Volume,Open,High,Low
05/07/2019,264.62,4752538,266.48,267.08,262.48
05/06/2019,268.98,3966927,265.65,269.36,265.31
05/03/2019,270.05,1969316,268.92,270.32,268.7
05/02/2019,267.51,3009045,267.88,268.8,265.93
05/01/2019,268.04,2669356,270.68,270.865,268
04/30/2019,270.01,2023837,269.56,270.31,268.11
04/29/2019,269.84,1890163,269.56,270.41,269.4616
04/26/2019,269.5,2172573,268.28,269.54,267.46
04/25/2019,268.27,1237376,268.28,268.88,266.98
04/24/2019,268.37,1391982,268.89,269.2099,268.23
04/23/2019,268.9,2617211,266.96,269.19,266.71
04/22/2019,266.6,1126442,265.56,266.71,265.47
04/18/2019,266.34,2788702,266.44,266.6,265.0817
04/17/2019,265.84,1866945,267.59,267.61,265.4
04/16/2019,266.49,2447676,267.2,267.24,265.86
04/15/2019,266.3,1584502,266.57,266.64,265.4676
04/12/2019,266.48,1903113,266.33,266.77,265.63
04/11/2019,264.69,1562621,265.24,265.24,264.09
04/10/2019,264.74,2990550,264.25,264.84,263.85
04/09/2019,263.83,2016036,264.22,264.54,263.291
04/08/2019,265.24,1719975,264.57,265.31,263.91
04/05/2019,265.01,1504787,264.42,265.06,264.124
04/04/2019,263.74,1734963,263.37,263.96,262.67
04/03/2019,263.11,1933827,263.87,264.25,262.4
04/02/2019,262.62,1511135,262.67,262.848,261.81
04/01/2019,262.53,3303846,261.46,262.7761,261.19
03/29/2019,259.54,2831125,259.34,259.72,258.18
03/28/2019,257.88,1708353,257.45,258.22,256.27
03/27/2019,256.88,2714128,258.15,258.73,255.23
03/26/2019,258.08,3174560,258.01,259.12,256.73
03/25/2019,256.23,2893077,256.09,257.28,254.95
03/22/2019,256.46,4316586,260.07,260.6099,256.37
03/21/2019,261.43,2964388,257.68,261.86,257.68
03/20/2019,259.93,3414974,260.54,261.77,258.84
03/19/2019,260.86,4058850,261.81,262.59,259.88
03/18/2019,260.78,1827635,260,260.99,259.77
03/15/2019,259.85,3146408,259.02,260.57,258.87
03/14/2019,258.59,1547295,258.68,259.12,258.04
03/13/2019,258.68,1972608,257.84,259.59,257.6931
03/12/2019,256.93,2271941,256.52,257.4614,256.37
03/11/2019,256.02,1878614,253.04,256.12,253.02
03/08/2019,252.34,4521387,250.88,252.45,250.34
03/07/2019,252.85,6440020,254.48,254.6,251.95
03/06/2019,254.9,2517061,256.62,256.62,254.6
03/05/2019,256.54,2472599,256.99,257.17,255.96
03/04/2019,256.84,3377619,258.87,259.1,254.49
03/01/2019,257.83,2866981,257.81,258.21,256.33
02/28/2019,256.07,2206968,256.42,256.88,255.85
02/27/2019,256.67,2136388,256.06,257.02,255.1
02/26/2019,256.8,4623025,256.55,257.643,256.41
02/25/2019,256.99,2940020,258.09,258.61,256.88
02/22/2019,256.61,2119327,255.69,256.81,255.4514
02/21/2019,255.08,2019778,255.33,255.64,254.04
02/20/2019,256.01,2156318,255.41,256.38,254.89
02/19/2019,255.42,2506672,254.15,256.09,254.15
02/15/2019,254.98,2805222,254.026,255,253.81
02/14/2019,252.2,3247078,251.65,253.36,250.83
02/13/2019,252.76,3566595,252.82,253.6571,252.39
02/12/2019,252,5978935,250.38,252.36,250.34
02/11/2019,248.78,2986015,249.28,249.513,248.22
02/08/2019,248.65,2512556,247.01,248.71,246.2
02/07/2019,248.33,3906243,249.04,249.5762,246.62
02/06/2019,250.79,2052173,250.75,251.22,249.95
02/05/2019,251.1,3613269,250.44,251.33,249.92
02/04/2019,249.99,2541031,248.3,250.02,247.5891
02/01/2019,248.22,3718439,248.31,249.29,247.455
01/31/2019,248.01,5303461,245.86,248.53,245.68
01/30/2019,245.96,6026896,243.66,246.78,242.88
01/29/2019,242.13,2428910,242.55,243.12,241.27
01/28/2019,242.43,2404126,242.09,242.49,240.63
01/25/2019,244.32,3676599,244.11,245.11,243.67
01/24/2019,242.26,2188292,241.9,242.82,240.91
01/23/2019,242.02,3075894,242.68,243.34,239.579
01/22/2019,241.66,5785053,243.39,243.58,239.97
01/18/2019,244.92,4941840,243.56,245.37,242.76
01/17/2019,241.67,3057784,239,242.55,238.95
01/16/2019,239.88,4065461,239.72,240.765,239.52
01/15/2019,239.35,5102836,236.97,239.585,236.97
01/14/2019,236.58,2652539,236.1,237.39,235.69
01/11/2019,237.89,2550986,236.85,238.0022,236.24
01/10/2019,238,2803701,235.65,238.17,234.8497
01/09/2019,237.01,4564143,236.71,237.94,235.46
01/08/2019,235.92,3544905,236.05,236.46,233.43
01/07/2019,233.65,3705182,232.29,235.23,231.32
01/04/2019,231.91,5098453,227.54,232.62,227.15
01/03/2019,224.5,3329498,228.1,228.42,223.97
01/02/2019,229.99,4885608,226.18,230.85,226.02
12/31/2018,229.81,6683814,229.31,229.97,227.45
12/28/2018,227.76,7435973,229.32,231.07,226.5171
12/27/2018,228.05,9555024,222.961,228.12,219.6
12/26/2018,225.95,11586100,216.88,226.1,214.83
12/24/2018,215.07,8493506,219.74,220.8,215.07
12/21/2018,221.16,11808780,226.74,229.46,220.57
12/20/2018,225.65,12124290,228.35,229.9,223.54
12/19/2018,229.42,8208722,233.21,237,227.78
12/18/2018,233.14,4689567,235,235.68,231.479
12/17/2018,233.23,6125471,237.06,238.22,231.68
12/14/2018,239.38,5088450,241.65,242.63,238.77
12/13/2018,243.88,2609884,244.86,245.76,242.7
12/12/2018,243.96,4116024,245.8,247.16,243.85
12/11/2018,242.62,4538281,245.95,246.12,241.19
12/10/2018,242.55,5983103,242,243.62,237.62
12/07/2018,242.26,3927587,247.63,249.24,241.37
12/06/2018,248.02,7708998,244.42,248.09,241.1301
12/04/2018,248.65,3831574,255.85,256.27,248.06
12/03/2018,256.61,3940445,257.65,257.74,255.06
11/30/2018,253.48,2992156,251.64,253.94,251.35
11/29/2018,251.81,3267992,251.54,253.25,250.36
11/28/2018,252.33,3722618,247.72,252.33,246.75
11/27/2018,246.57,2849623,244.73,246.6,244.12
11/26/2018,245.8,2494850,244.23,245.84,243.85
11/23/2018,242.01,830910,241.8,243.3459,241.73
11/21/2018,243.58,2424900,244.24,245.44,243.52
11/20/2018,242.77,4996078,243.84,245.32,241.83
11/19/2018,247.32,2973603,250.94,251.205,246.35
11/16/2018,251.49,2342764,249.77,252.47,249.26
11/15/2018,250.85,3903277,247.02,251.39,245.4311
11/14/2018,248.28,3617228,251.96,252.34,246.66
11/13/2018,249.99,3094258,250.96,253.01,249.28
11/12/2018,250.41,2709923,254.69,254.96,249.95
11/09/2018,255.34,3078543,256.5,256.64,253.81
11/08/2018,257.72,2466929,257.49,258.4368,256.65
11/07/2018,258.16,3089615,255.07,258.32,254.65
11/06/2018,252.82,2254059,251.18,252.975,251.1172
11/05/2018,251.23,1912051,250.32,251.792,249.39
11/02/2018,249.81,3184433,252.44,252.9,247.75
11/01/2018,251.37,2865599,249.63,251.54,248.4605
10/31/2018,248.79,4072708,248.72,251.08,248.27
10/30/2018,246.21,3617088,242.31,246.38,241.8
10/29/2018,242.5,5122453,247.03,248.3499,238.79
10/26/2018,243.76,5278686,244.34,246.98,241.035
10/25/2018,248.15,4440926,245.71,249.7864,244.6721
10/24/2018,243.78,4052772,251.19,251.55,243.25
10/23/2018,251.28,5206411,249,252.58,246.84
10/22/2018,252.8,2100637,254.55,254.86,252.17
10/19/2018,253.85,2684008,254.665,256.62,253.15
10/18/2018,254.05,3045837,256.754,257.35,252.69
10/17/2018,257.67,2839075,257.75,258.34,255.07
10/16/2018,257.58,3307440,254.14,258.1,253.7
10/15/2018,252.21,3303831,253.19,254.56,252.04
10/12/2018,253.6,7134586,254.39,254.64,250.2998
10/11/2018,250.22,9026969,254.81,256.2901,248.45
10/10/2018,255.6,5797025,263.62,263.62,255.37
10/09/2018,264.13,2078175,264.1,265.45,263.5492
10/08/2018,264.47,3219282,263.77,264.85,262.38
10/05/2018,264.54,2564352,266.19,266.77,263.02
10/04/2018,266.04,5003378,267.57,267.66,264.37
10/03/2018,268.24,2505430,269.02,269.47,267.72
10/02/2018,268.01,3033663,267.97,268.67,267.55
10/01/2018,268.04,1969140,268.46,269.175,267.39
09/28/2018,267.05,1774229,266.5,267.65,266.43
09/27/2018,267.08,3077279,266.876,268.24,266.6
09/26/2018,266.34,2568049,267.32,268.54,265.95
09/25/2018,268.33,2360623,269.1,269.1725,268.15
09/24/2018,268.66,2070680,268.93,269.068,268.02
09/21/2018,269.56,1352496,270.55,270.67,269.37
09/20/2018,269.75,3349316,268.89,270.1,268.79
09/19/2018,267.6,2076735,267.35,268.03,267.23
09/18/2018,267.3,1823549,266.1,267.92,266.09
09/17/2018,265.85,2513864,267.22,267.2638,265.59
